policyID,statecode,county,Insu_Amount,Claimed,Allignment,Policy Join Date,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
385951,FL,CLAY COUNTY,80000000,9317,Type-10,8/30/2013,30.10288,-81.705719,Residential,Wood,1,
716332,FL,CLAY COUNTY,90000000,9133,Type-9,8/1/2015,30.068468,-81.71624,Residential,Wood,1,
751262,FL,CLAY COUNTY,90000000,4812,Type-10,9/9/2017,30.068468,-81.71624,Residential,Wood,1,
633663,FL,CLAY COUNTY,90000000,2015,Type-9,4/21/2017,30.068468,-81.71624,Residential,Wood,1,
105851,FL,CLAY COUNTY,90000000,2234,Type-10,10/31/2012,30.068468,-81.71624,Residential,Wood,1,
710400,FL,CLAY COUNTY,90000000,2988,Type-9,1/2/2010,30.068468,-81.71624,Residential,Wood,1,
703001,FL,CLAY COUNTY,10000000,6451,Type-10,5/29/2015,30.079785,-81.706865,Residential,Wood,4,
352792,FL,CLAY COUNTY,10000000,8014,Type-9,12/20/2019,30.08012,-81.718452,Residential,Masonry,1,
717603,FL,CLAY COUNTY,10000000,6833,Type-10,12/14/2010,30.08012,-81.718452,Residential,Wood,1,
937659,FL,SUWANNEE COUNTY,10000000,9881,Type-9,2/11/2011,29.959805,-82.926659,Residential,Wood,3,
294022,FL,SUWANNEE COUNTY,10000000,7608,Type-10,3/4/2019,29.959805,-82.926659,Residential,Wood,3,
410500,FL,SUWANNEE COUNTY,9000000,5795,Type-9,7/25/2016,29.959805,-82.926659,Residential,Wood,3,
524433,FL,SUWANNEE COUNTY,8000000,7448,Type-10,7/27/2014,29.962601,-82.926155,Residential,Wood,3,
779298,FL,SUWANNEE COUNTY,10000000,8503,Type-9,9/29/2011,29.962601,-82.926155,Residential,Masonry,3,
491831,FL,SUWANNEE COUNTY,10000000,3628,Type-10,8/2/2013,29.962601,-82.926155,Residential,Wood,3,
814637,FL,SUWANNEE COUNTY,10000000,6748,Type-9,1/25/2015,29.962601,-82.926155,Residential,Wood,3,
737515,FL,SUWANNEE COUNTY,9000000,2818,Type-10,9/29/2014,29.962601,-82.926155,Residential,Wood,3,
222653,FL,SUWANNEE COUNTY,8000000,8916,Type-9,11/6/2020,29.962601,-82.926155,Residential,Wood,3,
788543,FL,SUWANNEE COUNTY,7000000,6419,Type-10,7/27/2020,29.962601,-82.926155,Residential,Wood,3,
691681,FL,SUWANNEE COUNTY,6000000,1179,Type-9,6/13/2014,29.960735,-82.92542,Residential,Wood,3,
368807,FL,SUWANNEE COUNTY,5000000,1530,Type-10,10/22/2013,29.960735,-82.92542,Residential,Wood,3,
174002,FL,SUWANNEE COUNTY,4000000,4643,Type-9,1/15/2016,29.963396,-82.916763,Residential,Wood,1,
198760,FL,SUWANNEE COUNTY,3000000,5067,Type-10,12/9/2018,29.963396,-82.916763,Residential,Wood,1,
831395,FL,SUWANNEE COUNTY,2000000,3394,Type-9,10/18/2017,29.963396,-82.916763,Residential,Wood,1,
305698,FL,SUWANNEE COUNTY,1000000,1331,Type-10,5/6/2017,29.963396,-82.916763,Residential,Wood,1,
515722,FL,SUWANNEE COUNTY,2000000,6527,Type-9,10/1/2013,29.963396,-82.916763,Residential,Wood,1,
415582,FL,SUWANNEE COUNTY,1000000,5012,Type-10,11/9/2015,29.958415,-82.92394,Residential,Wood,3,
783533,FL,SUWANNEE COUNTY,2000000,6414,Type-9,1/1/2010,29.9696,-82.92767,Residential,Wood,4,
640802,FL,SUWANNEE COUNTY,1000000,3027,Type-10,10/31/2019,29.959404,-82.927582,Residential,Wood,1,
403866,FL,SUWANNEE COUNTY,2000000,8219,Type-9,11/29/2019,29.958904,-82.922729,Residential,Wood,3,
828788,FL,SUWANNEE COUNTY,1000000,3984,Type-10,6/18/2015,29.95822,-82.922424,Residential,Wood,1,
751490,FL,SUWANNEE COUNTY,2000000,8419,Type-9,1/31/2010,29.965832,-82.933777,Residential,Wood,4,
972562,FL,SUWANNEE COUNTY,1000000,4964,Type-10,12/16/2011,29.965721,-82.933777,Residential,Wood,4,
367541,FL,SUWANNEE COUNTY,2000000,9686,Type-9,6/16/2018,29.965717,-82.933777,Residential,Wood,4,
481360,FL,SUWANNEE COUNTY,1000000,9088,Type-10,12/20/2018,29.95775,-82.923635,Residential,Wood,3,
920232,FL,NASSAU COUNTY,2000000,4216,Type-9,8/2/2018,30.39431,-81.93397,Residential,Wood,1,
727659,FL,NASSAU COUNTY,1000000,3646,Type-10,4/24/2015,30.56267,-81.830429,Residential,Wood,1,
471817,FL,NASSAU COUNTY,2000000,3485,Type-9,7/18/2012,30.56267,-81.830429,Residential,Wood,1,
983043,FL,NASSAU COUNTY,1000000,3172,Type-10,4/6/2014,30.561651,-81.830193,Residential,Wood,1,
578286,FL,NASSAU COUNTY,2000000,5016,Type-9,4/16/2014,30.56267,-81.830429,Residential,Wood,1,
347276,FL,NASSAU COUNTY,1000000,8965,Type-10,6/5/2017,30.56106,-81.82632,Residential,Wood,3,
477786,FL,NASSAU COUNTY,2000000,3183,Type-9,3/18/2013,30.5579,-81.8249,Commercial,Reinforced Masonry,4,
265907,FL,NASSAU COUNTY,1000000,5923,Type-10,3/20/2016,30.56106,-81.82632,Residential,Wood,3,
107560,FL,NASSAU COUNTY,2000000,4053,Type-9,5/13/2015,30.56106,-81.82632,Residential,Masonry,3,
908183,FL,NASSAU COUNTY,1000000,2258,Type-10,1/7/2012,30.57185,-81.82383,Residential,Wood,3,
356024,FL,NASSAU COUNTY,2000000,1945,Type-9,1/13/2015,30.562835,-81.826525,Residential,Wood,3,
575299,FL,NASSAU COUNTY,1000000,2083,Type-10,11/15/2014,30.567566,-81.826584,Residential,Wood,1,
790478,FL,NASSAU COUNTY,2000000,5406,Type-9,12/30/2015,30.60895,-81.83645,Residential,Wood,3,
801776,FL,NASSAU COUNTY,1000000,6783,Type-10,2/19/2012,30.59925,-81.81973,Residential,Wood,1,
291781,FL,NASSAU COUNTY,2000000,4833,Type-9,9/20/2013,30.53674,-81.77496,Residential,Masonry,3,
537286,FL,NASSAU COUNTY,1000000,3092,Type-10,1/17/2019,30.555161,-81.825684,Residential,Masonry,1,
289305,FL,COLUMBIA COUNTY,2000000,6280,Type-9,6/13/2017,30.105968,-82.66227,Residential,Wood,4,
697409,FL,COLUMBIA COUNTY,1000000,8677,Type-10,5/2/2017,30.1018,-82.7094,Residential,Wood,1,
633944,FL,COLUMBIA COUNTY,2000000,4143,Type-9,4/1/2019,30.1018,-82.7094,Residential,Wood,4,
963511,FL,COLUMBIA COUNTY,1000000,6390,Type-10,10/11/2016,30.1018,-82.7094,Residential,Wood,4,
729649,FL,COLUMBIA COUNTY,2000000,2043,Type-9,12/22/2013,30.1653,-82.73404,Residential,Masonry,1,
862584,FL,COLUMBIA COUNTY,1000000,3434,Type-10,9/12/2013,30.1018,-82.7094,Residential,Wood,4,
371891,FL,COLUMBIA COUNTY,2000000,3094,Type-9,9/21/2018,30.17399,-82.57017,Residential,Wood,4,
785595,FL,COLUMBIA COUNTY,1000000,2206,Type-10,7/10/2011,30.1515,-82.6126,Residential,Wood,3,
567696,FL,COLUMBIA COUNTY,2000000,8351,Type-9,11/10/2011,30.16269,-82.64,Residential,Wood,4,
219025,FL,COLUMBIA COUNTY,1000000,2331,Type-10,10/4/2016,30.16269,-82.64,Residential,Wood,4,
447216,FL,COLUMBIA COUNTY,2000000,3252,Type-9,8/23/2010,30.16269,-82.64,Residential,Wood,4,
305141,FL,COLUMBIA COUNTY,1000000,8358,Type-10,8/30/2012,30.16269,-82.64,Residential,Wood,4,
625575,FL,COLUMBIA COUNTY,2000000,1296,Type-9,7/8/2011,30.16269,-82.64,Residential,Wood,4,
262109,FL,COLUMBIA COUNTY,1000000,6828,Type-10,1/9/2017,30.163641,-82.640976,Residential,Wood,1,
228457,FL,COLUMBIA COUNTY,2000000,7804,Type-9,10/6/2012,30.163641,-82.640976,Residential,Masonry,1,
622799,FL,COLUMBIA COUNTY,1000000,5278,Type-10,6/4/2019,30.163641,-82.640976,Residential,Wood,1,
233271,FL,COLUMBIA COUNTY,2000000,8618,Type-9,3/28/2011,30.163641,-82.640976,Commercial,Reinforced Masonry,1,
932950,FL,COLUMBIA COUNTY,1000000,7853,Type-10,10/16/2013,30.163641,-82.640976,Residential,Wood,1,
641952,FL,COLUMBIA COUNTY,2000000,9355,Type-9,7/10/2018,30.1515,-82.6126,Commercial,Reinforced Masonry,4,
796260,FL,COLUMBIA COUNTY,1000000,8292,Type-10,11/12/2020,30.1515,-82.6126,Residential,Masonry,4,
301822,FL,COLUMBIA COUNTY,2000000,1952,Type-9,7/18/2014,30.1515,-82.6126,Commercial,Reinforced Masonry,4,
559927,FL,COLUMBIA COUNTY,1000000,8029,Type-10,5/25/2017,30.1515,-82.6126,Residential,Wood,4,
224400,FL,COLUMBIA COUNTY,2000000,6339,Type-9,12/7/2010,30.1515,-82.6126,Residential,Masonry,4,
123936,FL,COLUMBIA COUNTY,1000000,9614,Type-10,5/20/2019,30.1515,-82.6126,Commercial,Reinforced Masonry,4,
333818,FL,COLUMBIA COUNTY,2000000,4511,Type-9,9/19/2015,30.1515,-82.6126,Residential,Masonry,4,
254323,FL,COLUMBIA COUNTY,1000000,4412,Type-10,5/23/2018,30.1515,-82.6126,Residential,Masonry,4,
247444,FL,COLUMBIA COUNTY,2000000,4149,Type-9,6/8/2017,30.1515,-82.6126,Residential,Wood,4,
882598,FL,COLUMBIA COUNTY,1000000,2572,Type-10,12/11/2017,30.1515,-82.6126,Residential,Masonry,4,
386918,FL,COLUMBIA COUNTY,2000000,1543,Type-9,10/28/2015,30.1515,-82.6126,Residential,Wood,4,
497337,FL,COLUMBIA COUNTY,1000000,1392,Type-10,5/22/2017,30.1515,-82.6126,Residential,Wood,4,
526844,FL,COLUMBIA COUNTY,2000000,1968,Type-9,2/27/2017,30.1515,-82.6126,Commercial,Reinforced Masonry,4,
623400,FL,COLUMBIA COUNTY,1000000,4015,Type-10,2/12/2019,30.1515,-82.6126,Residential,Wood,4,
826170,FL,COLUMBIA COUNTY,2000000,5425,Type-9,5/17/2014,30.185885,-82.614795,Residential,Wood,1,
185483,FL,COLUMBIA COUNTY,1000000,3123,Type-10,3/25/2018,30.185885,-82.614795,Residential,Wood,1,
920003,FL,COLUMBIA COUNTY,2000000,3376,Type-9,12/27/2019,30.185885,-82.614795,Residential,Masonry,1,
274246,FL,COLUMBIA COUNTY,1000000,5418,Type-10,10/10/2014,30.16649,-82.63503,Residential,Wood,1,
423636,FL,COLUMBIA COUNTY,2000000,4519,Type-9,10/12/2011,30.176,-82.65581,Residential,Masonry,1,
970906,FL,COLUMBIA COUNTY,1000000,1781,Type-10,10/7/2019,30.00777,-82.59694,Commercial,Reinforced Masonry,3,
227898,FL,COLUMBIA COUNTY,2000000,2621,Type-9,7/25/2017,30.17509,-82.66252,Residential,Wood,1,
525138,FL,COLUMBIA COUNTY,1000000,7216,Type-10,7/18/2015,30.17501,-82.66205,Residential,Wood,1,
923627,FL,COLUMBIA COUNTY,2000000,4283,Type-9,3/20/2014,30.174776,-82.662277,Residential,Wood,1,
619743,FL,COLUMBIA COUNTY,1000000,2809,Type-10,3/29/2016,30.17476,-82.66251,Residential,Wood,1,
910727,FL,COLUMBIA COUNTY,2000000,5685,Type-9,9/4/2011,30.1745,-82.66205,Residential,Wood,1,
363647,FL,COLUMBIA COUNTY,1000000,9269,Type-10,6/24/2012,30.17447,-82.66251,Residential,Wood,1,
512519,FL,COLUMBIA COUNTY,2000000,3062,Type-9,3/13/2020,30.17417,-82.66218,Residential,Wood,1,
904304,FL,COLUMBIA COUNTY,1000000,8942,Type-10,8/1/2010,30.17451,-82.66351,Residential,Wood,1,
835349,FL,COLUMBIA COUNTY,2000000,1465,Type-9,11/17/2017,30.17475,-82.66314,Residential,Wood,1,
891725,FL,COLUMBIA COUNTY,1000000,2974,Type-10,5/27/2013,30.17514,-82.66341,Residential,Wood,1,
923503,FL,COLUMBIA COUNTY,2000000,2240,Type-9,11/12/2013,30.17474,-82.66348,Residential,Wood,1,
292347,FL,COLUMBIA COUNTY,1000000,4254,Type-10,6/2/2013,30.17664,-82.66314,Residential,Wood,3,
363828,FL,COLUMBIA COUNTY,2000000,7452,Type-9,9/20/2019,30.17638,-82.66314,Residential,Wood,3,
110490,FL,COLUMBIA COUNTY,1000000,6811,Type-10,3/8/2015,30.17623,-82.66406,Residential,Wood,3,
480733,FL,COLUMBIA COUNTY,2000000,8813,Type-9,11/27/2013,30.17698,-82.67019,Residential,Masonry,4,
993346,FL,COLUMBIA COUNTY,1000000,7802,Type-10,2/4/2018,30.174486,-82.671326,Residential,Masonry,4,
934992,FL,ST  JOHNS COUNTY,2000000,9710,Type-9,3/26/2011,29.7917,-81.4271,Residential,Wood,4,
645841,FL,ST  JOHNS COUNTY,1000000,8224,Type-10,5/29/2016,29.7917,-81.4271,Residential,Masonry,4,
747846,FL,ST  JOHNS COUNTY,2000000,8592,Type-9,2/19/2012,29.7917,-81.4271,Residential,Wood,4,
482457,FL,ST  JOHNS COUNTY,1000000,9052,Type-10,4/21/2010,29.776566,-81.47171,Residential,Wood,1,
574787,FL,ST  JOHNS COUNTY,2000000,4654,Type-9,5/26/2019,29.776566,-81.47171,Residential,Wood,1,
831418,FL,ST  JOHNS COUNTY,1000000,1869,Type-10,1/26/2019,29.776566,-81.47171,Residential,Wood,1,
968562,FL,ST  JOHNS COUNTY,2000000,2551,Type-9,3/10/2019,29.776566,-81.47171,Residential,Wood,1,
576324,FL,ST  JOHNS COUNTY,1000000,9911,Type-10,4/19/2018,29.7255,-81.466309,Residential,Wood,1,
290435,FL,ST  JOHNS COUNTY,2000000,6319,Type-9,7/1/2013,29.7255,-81.466309,Residential,Wood,1,
526086,FL,ST  JOHNS COUNTY,1000000,7931,Type-10,7/25/2014,29.7255,-81.466309,Residential,Wood,1,
119823,FL,ST  JOHNS COUNTY,2000000,7963,Type-9,11/27/2010,29.7255,-81.466309,Residential,Wood,1,
497414,FL,ST  JOHNS COUNTY,1000000,1582,Type-10,5/28/2013,29.7255,-81.466309,Residential,Wood,1,
340883,FL,ST  JOHNS COUNTY,2000000,1393,Type-9,7/25/2016,29.7255,-81.466309,Residential,Wood,1,
892551,FL,ST  JOHNS COUNTY,1000000,9473,Type-10,3/29/2012,29.7255,-81.466309,Residential,Wood,1,
670595,FL,ST  JOHNS COUNTY,2000000,4803,Type-9,8/9/2010,29.7255,-81.466309,Residential,Wood,1,
194101,FL,ST  JOHNS COUNTY,1000000,9867,Type-10,9/16/2013,29.7255,-81.466309,Residential,Wood,1,
167200,FL,ST  JOHNS COUNTY,2000000,2363,Type-9,10/6/2017,29.7255,-81.466309,Residential,Wood,1,
139064,FL,ST  JOHNS COUNTY,1000000,3027,Type-10,11/13/2017,29.7255,-81.466309,Residential,Wood,1,
846636,FL,ST  JOHNS COUNTY,2000000,1172,Type-9,2/24/2015,29.7255,-81.466309,Residential,Wood,1,
310177,FL,NASSAU COUNTY,1000000,6315,Type-10,6/14/2014,30.57332,-81.45291,Residential,Wood,1,
865452,FL,NASSAU COUNTY,2000000,5964,Type-9,11/7/2011,30.67464,-81.46114,Residential,Wood,3,
783429,FL,NASSAU COUNTY,1000000,6096,Type-10,11/13/2016,30.67464,-81.46114,Residential,Wood,3,
878060,FL,NASSAU COUNTY,2000000,1188,Type-9,2/13/2012,30.67423,-81.46052,Residential,Wood,1,
935342,FL,NASSAU COUNTY,1000000,7162,Type-10,11/15/2014,30.67423,-81.46052,Residential,Wood,1,
456376,FL,NASSAU COUNTY,2000000,2615,Type-9,1/30/2010,30.67423,-81.46052,Residential,Wood,1,
363001,FL,NASSAU COUNTY,1000000,7143,Type-10,8/25/2010,30.67453,-81.46016,Residential,Wood,1,
478864,FL,NASSAU COUNTY,2000000,5513,Type-9,11/29/2016,30.67513,-81.44708,Residential,Masonry,1,
600402,FL,NASSAU COUNTY,1000000,4471,Type-10,2/20/2013,30.64687,-81.45801,Commercial,Reinforced Masonry,1,
483983,FL,NASSAU COUNTY,2000000,7141,Type-9,10/24/2019,30.650143,-81.454407,Residential,Masonry,1,
991615,FL,NASSAU COUNTY,1000000,1630,Type-10,7/14/2011,30.6202,-81.4719,Residential,Wood,4,
644573,FL,NASSAU COUNTY,2000000,8544,Type-9,5/16/2015,30.576765,-81.453979,Residential,Masonry,1,
853278,FL,NASSAU COUNTY,1000000,5489,Type-10,12/18/2016,30.576765,-81.453979,Residential,Wood,1,
100658,FL,NASSAU COUNTY,2000000,9283,Type-9,10/14/2020,30.6202,-81.4719,Residential,Wood,4,
433115,FL,NASSAU COUNTY,1000000,9927,Type-10,11/21/2016,30.576765,-81.453979,Residential,Wood,1,
760337,FL,NASSAU COUNTY,2000000,9634,Type-9,6/25/2014,30.61988,-81.46815,Residential,Wood,1,
884738,FL,NASSAU COUNTY,1000000,3263,Type-10,5/24/2011,30.576765,-81.453979,Residential,Masonry,1,
610102,FL,NASSAU COUNTY,2000000,1562,Type-9,12/3/2016,30.671095,-81.462097,Commercial,Reinforced Masonry,1,
830823,FL,NASSAU COUNTY,1000000,3306,Type-10,5/24/2016,30.67,-81.462,Residential,Masonry,3,
618364,FL,NASSAU COUNTY,2000000,6049,Type-9,1/12/2011,30.596535,-81.546837,Residential,Wood,1,
712563,FL,NASSAU COUNTY,1000000,6968,Type-10,11/23/2011,30.596535,-81.546837,Residential,Wood,1,
493030,FL,NASSAU COUNTY,2000000,7892,Type-9,1/12/2011,30.57326,-81.45367,Residential,Masonry,1,
188150,FL,NASSAU COUNTY,1000000,6488,Type-10,11/13/2017,30.65372,-81.45105,Commercial,Reinforced Masonry,1,
589642,FL,NASSAU COUNTY,2000000,4999,Type-9,12/1/2010,30.63945,-81.455553,Residential,Masonry,1,
846109,FL,NASSAU COUNTY,1000000,9025,Type-10,3/2/2011,30.570326,-81.451576,Residential,Wood,3,
399079,FL,NASSAU COUNTY,2000000,2156,Type-9,5/4/2019,30.5708,-81.44959,Residential,Wood,1,
680135,FL,NASSAU COUNTY,1000000,6975,Type-10,3/9/2014,30.5708,-81.44959,Residential,Wood,1,
621379,FL,NASSAU COUNTY,2000000,6156,Type-9,4/29/2020,30.571087,-81.448578,Residential,Wood,1,
606710,FL,NASSAU COUNTY,1000000,8441,Type-10,3/5/2013,30.570854,-81.448212,Residential,Wood,1,
443319,FL,NASSAU COUNTY,2000000,5709,Type-9,4/12/2012,30.571154,-81.448433,Residential,Wood,1,
228591,FL,NASSAU COUNTY,1000000,9124,Type-10,6/16/2017,30.5708,-81.44959,Residential,Wood,1,
721610,FL,NASSAU COUNTY,2000000,5811,Type-9,7/2/2018,30.571323,-81.450188,Residential,Wood,1,
507395,FL,NASSAU COUNTY,1000000,8124,Type-10,5/28/2016,30.570711,-81.448067,Residential,Wood,1,
213399,FL,NASSAU COUNTY,2000000,5411,Type-9,6/20/2019,30.571777,-81.449326,Residential,Wood,1,
579400,FL,NASSAU COUNTY,1000000,3347,Type-10,3/23/2014,30.5716,-81.45134,Residential,Wood,1,
509951,FL,NASSAU COUNTY,2000000,3777,Type-9,8/4/2011,30.57098,-81.44838,Residential,Wood,1,
930798,FL,NASSAU COUNTY,1000000,1622,Type-10,6/25/2018,30.571613,-81.450577,Residential,Wood,1,
729247,FL,NASSAU COUNTY,2000000,5083,Type-9,4/3/2020,30.5708,-81.44959,Residential,Wood,1,
288344,FL,NASSAU COUNTY,1000000,7695,Type-10,12/13/2019,30.5708,-81.44959,Residential,Wood,1,
275351,FL,NASSAU COUNTY,2000000,6269,Type-9,1/2/2013,30.57164,-81.450279,Residential,Wood,1,
976690,FL,NASSAU COUNTY,1000000,1377,Type-10,5/9/2019,30.571306,-81.45015,Residential,Wood,1,
507111,FL,NASSAU COUNTY,2000000,3865,Type-9,10/31/2017,30.571608,-81.450661,Residential,Wood,1,
547458,FL,NASSAU COUNTY,1000000,5114,Type-10,7/22/2014,30.571609,-81.450615,Residential,Wood,1,
827732,FL,NASSAU COUNTY,2000000,6866,Type-9,8/9/2012,30.571665,-81.450089,Residential,Wood,1,
229489,FL,NASSAU COUNTY,1000000,8797,Type-10,1/18/2010,30.571615,-81.450531,Residential,Wood,1,
175251,FL,NASSAU COUNTY,2000000,1080,Type-9,9/19/2016,30.571812,-81.448822,Residential,Wood,1,
590043,FL,NASSAU COUNTY,1000000,1253,Type-10,1/23/2012,30.571596,-81.450874,Residential,Wood,1,
476037,FL,NASSAU COUNTY,2000000,9759,Type-9,11/4/2017,30.5708,-81.44959,Residential,Wood,1,
674960,FL,NASSAU COUNTY,1000000,1288,Type-10,7/11/2018,30.57086,-81.448174,Residential,Wood,1,
743790,FL,NASSAU COUNTY,2000000,1808,Type-9,3/10/2012,30.570326,-81.451576,Commercial,Reinforced Masonry,3,
817283,FL,NASSAU COUNTY,1000000,9967,Type-10,8/30/2020,30.570221,-81.451309,Commercial,Reinforced Concrete,1,
201980,FL,NASSAU COUNTY,2000000,6338,Type-9,1/19/2012,30.64448,-81.45489,Residential,Wood,1,
351505,FL,NASSAU COUNTY,1000000,9919,Type-10,6/5/2014,30.653568,-81.449318,Residential,Wood,1,
798806,FL,NASSAU COUNTY,2000000,6848,Type-9,12/29/2013,30.65118,-81.44969,Residential,Masonry,1,
153643,FL,NASSAU COUNTY,1000000,5571,Type-10,12/26/2015,30.65118,-81.44969,Residential,Wood,1,
683653,FL,NASSAU COUNTY,2000000,6850,Type-9,2/25/2017,30.65118,-81.44969,Residential,Wood,1,
475264,FL,NASSAU COUNTY,1000000,8352,Type-10,6/25/2010,30.639568,-81.442482,Commercial,Reinforced Concrete,1,
912944,FL,NASSAU COUNTY,2000000,3772,Type-9,12/17/2013,30.59491,-81.539909,Residential,Masonry,4,
945134,FL,NASSAU COUNTY,1000000,8992,Type-10,8/26/2018,30.59491,-81.539909,Residential,Wood,4,
219959,FL,NASSAU COUNTY,2000000,6198,Type-9,5/17/2020,30.59491,-81.539909,Residential,Wood,4,
793504,FL,NASSAU COUNTY,1000000,8077,Type-10,4/13/2013,30.6119,-81.455986,Residential,Wood,3,
450423,FL,NASSAU COUNTY,2000000,9705,Type-9,7/15/2010,30.596535,-81.546837,Residential,Wood,1,
505178,FL,NASSAU COUNTY,1000000,4835,Type-10,5/9/2020,30.596535,-81.546837,Residential,Wood,1,
408688,FL,NASSAU COUNTY,2000000,9159,Type-9,12/20/2014,30.66665,-81.45235,Residential,Masonry,1,
477759,FL,NASSAU COUNTY,1000000,7268,Type-10,6/16/2020,30.657654,-81.463341,Residential,Wood,1,
882441,FL,NASSAU COUNTY,2000000,3428,Type-9,4/23/2012,30.65838,-81.46358,Residential,Wood,1,
727602,FL,NASSAU COUNTY,1000000,6712,Type-10,6/29/2018,30.617165,-81.461609,Residential,Wood,1,
313226,FL,NASSAU COUNTY,2000000,7510,Type-9,3/17/2015,30.617874,-81.457794,Residential,Wood,1,
337027,FL,NASSAU COUNTY,1000000,1812,Type-10,12/2/2013,30.663744,-81.453941,Residential,Wood,4,
649251,FL,NASSAU COUNTY,2000000,3133,Type-9,12/8/2015,30.67024,-81.454628,Residential,Wood,3,
142564,FL,NASSAU COUNTY,1000000,4929,Type-10,7/9/2012,30.61945,-81.465965,Residential,Wood,1,
197782,FL,NASSAU COUNTY,2000000,7277,Type-9,1/1/2014,30.610081,-81.446259,Residential,Masonry,1,
709787,FL,NASSAU COUNTY,1000000,7627,Type-10,11/7/2020,30.610081,-81.446259,Residential,Wood,1,
655065,FL,NASSAU COUNTY,2000000,7489,Type-9,2/22/2014,30.67044,-81.46572,Residential,Wood,3,
176778,FL,NASSAU COUNTY,1000000,4829,Type-10,2/1/2012,30.671413,-81.464905,Commercial,Reinforced Masonry,1,
559179,FL,NASSAU COUNTY,2000000,1375,Type-9,9/30/2020,30.65501,-81.45117,Residential,Masonry,1,
698071,FL,NASSAU COUNTY,1000000,4520,Type-10,3/30/2019,30.665545,-81.43205,Residential,Wood,3,
642950,FL,NASSAU COUNTY,2000000,9036,Type-9,4/28/2015,30.63862,-81.43702,Residential,Masonry,4,
477240,FL,NASSAU COUNTY,1000000,4333,Type-10,5/14/2020,30.66665,-81.45235,Residential,Wood,1,
672348,FL,NASSAU COUNTY,2000000,7173,Type-9,8/30/2015,30.63833,-81.44564,Residential,Wood,1,
922844,FL,NASSAU COUNTY,1000000,2336,Type-10,2/8/2016,30.617874,-81.457794,Residential,Wood,1,
948580,FL,NASSAU COUNTY,2000000,7873,Type-9,7/12/2013,30.67069,-81.458395,Residential,Wood,3,
364552,FL,NASSAU COUNTY,1000000,6650,Type-10,1/12/2018,30.65838,-81.46358,Residential,Wood,1,
561601,FL,NASSAU COUNTY,2000000,8330,Type-9,12/27/2015,30.671312,-81.46492,Residential,Masonry,1,
